year,month,author,additions,deletions
2022,7,Mike Bostock,1,1
2022,7,Mike Bostock,24,24
2022,7,Mike Bostock,1,1
2022,7,Mike Bostock,126,121
2022,6,Mike Bostock,1,1
2022,6,Mike Bostock,37,36
2022,6,Mike Bostock,1,1
2022,6,Mike Bostock,194,147
2022,4,Mike Bostock,1,1
2022,4,Mike Bostock,105,105
2022,4,Mike Bostock,1,1
2022,4,Mike Bostock,99,99
2022,4,Mike Bostock,1,1
2022,4,Mike Bostock,99,99
2022,4,Mike Bostock,1,1
2022,4,Mike Bostock,164,164
2022,3,Avery Edmondson,1,1
2022,3,Mike Bostock,1,1
2022,3,Mike Bostock,126,161
2022,1,Mike Bostock,1,1
2022,1,Mike Bostock,216,202
2021,12,Mike Bostock,1,1
2021,12,Mike Bostock,74,74
2021,12,Mike Bostock,1,1
2021,12,Mike Bostock,216,296
2021,10,Mike Bostock,1,1
2021,10,Mike Bostock,99,99
2021,10,Mike Bostock,1,1
2021,10,Mike Bostock,127,166
2021,9,Mike Bostock,1,1
2021,9,Mike Bostock,187,175
2021,9,Mike Bostock,1,1
2021,9,Mike Bostock,107,101
2021,9,Mike Bostock,1,1
2021,9,Mike Bostock,285,285
2021,8,Mike Bostock,1,1
2021,8,Mike Bostock,200,178
2021,7,Mike Bostock,8,4
2021,6,Philippe Rivière,1,1
2021,6,Mike Bostock,3,1
2021,6,Mike Bostock,1,1
2021,6,Mike Bostock,1225,1220
2021,6,Mike Bostock,1406,682
2021,5,jombard,1,1
2021,4,Mike Bostock,1,1
2021,4,Mike Bostock,211,207
2021,3,Mike Bostock,1,1
2021,3,Mike Bostock,167,167
2021,3,Mike Bostock,1,1
2021,3,Mike Bostock,104,104
2021,3,Philippe Rivière,1,1
2021,3,Emre Açıkgöz,1,1
2021,3,Mike Bostock,1,1
2021,3,Mike Bostock,393,338
2021,1,Mike Bostock,1,1
2021,1,Mike Bostock,94,93
2021,1,Mike Bostock,1,1
2021,1,Mike Bostock,235,176
2020,12,Mike Bostock,1,1
2020,12,Mike Bostock,90,90
2020,12,Mike Bostock,1,1
2020,12,Mike Bostock,90,90
2020,9,Mike Bostock,1,1
2020,9,Mike Bostock,96,76
2020,9,Mike Bostock,1,1
2020,8,Mike Bostock,1,1
2020,8,Mike Bostock,70,70
2020,8,Mike Bostock,1,1
2020,8,Mike Bostock,107,105
2020,8,Philippe Rivière,0,3
2020,8,Mike Bostock,1,7
2020,8,Mike Bostock,2,2
2020,8,Mike Bostock,160,2
2020,8,Mike Bostock,34,0
2020,8,Mike Bostock,1,1
2020,8,Mike Bostock,21,36
2020,8,Mike Bostock,0,2
2020,8,Mike Bostock,16,9
2020,8,Mike Bostock,2,4
2020,8,Mike Bostock,28,19
2020,8,Philippe Rivière,1,1
2020,8,Philippe Rivière,1,1
2020,8,Philippe Rivière,5,5
2020,8,Philippe Rivière,1751,1623
2020,8,Philippe Rivière,11,11
2020,8,Philippe Rivière,4,1
2020,8,Philippe Rivière,1,1
2020,8,Philippe Rivière,1533,1398
2020,8,Philippe Rivière,5,0
2020,8,Philippe Rivière,50,2
2020,8,Philippe Rivière,216,221
2020,8,Philippe Rivière,4,3
2020,8,Philippe Rivière,39,20
2020,8,Philippe Rivière,12,11
2020,8,Philippe Rivière,2,2
2020,8,Philippe Rivière,22,22
2020,8,Philippe Rivière,6,6
2020,8,Philippe Rivière,30,13
2020,8,Philippe Rivière,12,0
2020,8,Philippe Rivière,2,2
2020,8,Philippe Rivière,7,6
2020,8,Philippe Rivière,3,1
2020,8,Philippe Rivière,41,30
2020,8,Philippe Rivière,4,3
2020,8,Philippe Rivière,2,0
2020,8,Philippe Rivière,3,0
2020,8,Philippe Rivière,9,8
2020,8,Philippe Rivière,9,9
2020,8,Philippe Rivière,1,1
2020,8,Philippe Rivière,2,2
2020,8,Philippe Rivière,13,13
2020,8,Philippe Rivière,3,2
2020,8,Philippe Rivière,0,56
2020,8,Philippe Rivière,7,0
2020,8,Philippe Rivière,1,1
2020,8,Philippe Rivière,32,7
2020,8,Philippe Rivière,1096,1096
2020,8,Mike Bostock,96,71
2020,8,Mike Bostock,220,199
2020,8,Mike Bostock,1,1
2020,8,Philippe Rivière,192,189
2020,7,Philippe Rivière,22,22
2020,7,Philippe Rivière,6,6
2020,7,Philippe Rivière,1,1
2020,7,Philippe Rivière,175,208
2020,7,Philippe Rivière,113,95
2020,4,Mike Bostock,1,1
2020,4,Mike Bostock,139,139
2020,4,Mike Bostock,1,1
2020,4,Mike Bostock,14,14
2020,3,Mike Bostock,2,2
2020,3,Mike Bostock,2,2
2019,12,Mike Bostock,1,1
2019,12,Mike Bostock,62,61
2019,11,Mike Bostock,11,3
2019,11,Mike Bostock,1,1
2019,11,Mike Bostock,17,17
2019,11,Mike Bostock,34,34
2019,11,Mike Bostock,1,1
2019,11,Mike Bostock,34,34
2019,11,Mike Bostock,1,1
2019,11,Mike Bostock,182,181
2019,11,Mike Bostock,1,1
2019,11,Mike Bostock,17,17
2019,11,Mike Bostock,1,1
2019,11,Mike Bostock,729,718
2019,9,Mike Bostock,2,2
2019,9,Tom MacWright,3,3
2019,9,Mike Bostock,1,1
2019,9,Mike Bostock,14,14
2019,8,Mike Bostock,1,1
2019,8,Mike Bostock,80,78
2019,8,Mike Bostock,1,1
2019,8,Mike Bostock,3,3
2019,8,Mike Bostock,1,1
2019,8,Mike Bostock,2,0
2019,8,Mike Bostock,422,415
2019,8,Mike Bostock,1,1
2019,8,Mike Bostock,273,92
2019,8,Mike Bostock,8,8
2019,8,Mike Bostock,4,4
2019,8,Mike Bostock,8,5
2019,8,Mike Bostock,1,1
2019,6,Mike Bostock,1,1
2019,6,Mike Bostock,3,3
2019,6,Mike Bostock,1,1
2019,6,Mike Bostock,3,3
2019,6,Mike Bostock,1,1
2019,6,Mike Bostock,3,3
2019,6,Mike Bostock,1,1
2019,6,Mike Bostock,3,3
2019,6,Mike Bostock,1,1
2019,6,Mike Bostock,10,6
2019,5,Mike Bostock,1118,1118
2019,3,Mike Bostock,1,1
2019,3,Mike Bostock,71,74
2019,2,Mike Bostock,1,1
2019,2,Mike Bostock,4,4
2019,2,Mike Bostock,1,1
2019,2,Mike Bostock,6,2
2019,2,Mike Bostock,1,1
2019,2,Mike Bostock,2,2
2019,2,Mike Bostock,1,1
2019,2,Mike Bostock,2,2
2019,1,Mike Bostock,1,1
2019,1,Mike Bostock,30,15
2018,5,denisname,11,8
2018,8,nikolas,1,1
2018,8,Mike Bostock,3,0
